numsamples,plt_err1,plt_err2,plt_err1_linear,plt_err2_linear,plt_err1_transferred,plt_err2_transferred
20,0.012819408695716412,0.012927257195380156,0.013349761515253904,0.013262276289623212,0.014636090106474096,0.01517063289536328
30,0.010922133702603774,0.011154129804233805,0.012495543824988135,0.012665379553238225,0.011647402510009473,0.011960186342621982
40,0.011392124793072592,0.012030991426846271,0.012457936297357827,0.01275599702097482,0.01138312918639614,0.012027254358158608
50,0.010575093102705609,0.011012616569471624,0.012357992846275546,0.012666709320762555,0.010803731103920518,0.011554969094647503
60,0.010821910085721958,0.011208270612524808,0.012347593475760733,0.012595385613680676,0.010094047343539903,0.010689867155835309
70,0.010261373639010446,0.01061387453750239,0.012242733158424814,0.01247318928858755,0.009879646881228506,0.010503864687791917
80,0.009847038044777608,0.010131223105500197,0.012254043201550224,0.012506136083625441,0.00971885628306854,0.010353076348436555
90,0.010333755567344031,0.011064297874361983,0.012257999079482308,0.01251939159025557,0.009836568096637133,0.010454530584375834
100,0.010578352544544624,0.011244318107837185,0.012374621226425988,0.012686192631357856,0.0097939831787901,0.010397253265580463
110,0.010162774026682902,0.01073925092538434,0.01229559817364976,0.012586112777432015,0.009854084445282019,0.01062804070645202
120,0.009673265625238466,0.010124259658807401,0.012294014723251158,0.012559652185970984,0.009613651122875986,0.010007550383633603
130,0.009980395586194367,0.01047886686072168,0.01223147312269768,0.01247598352943213,0.009095666784873916,0.009648143358663494
140,0.00946505737317873,0.009849880027828911,0.012189938374243488,0.012396700344095029,0.00915766213603722,0.009710351979169474
